attribute,name,type,count,power,text101,text102,text103,flavortext,mainImage,iconImage,attcolor,,
Sloth,Slothful Bully,Minion,3,DDD,"Each Demon Phase, <br>Return 1 Book from your Bookshelf to your hand.",,,,Bully.png,Sloth.png,#707271,dark,Slothful Bully
Pride,Prideful Bully,Minion,3,HHH,"Whenever you Transfer, or when anyone Transfers to you, <br>Corrupt.",,,,Bully.png,Pride.png,#9B00FF,dark,Prideful Bully
Anger,Angry Bully,Minion,3,PPP,"Each Demon phase, <br>Discard 1 Book.",,,,Bully.png,Anger.png,#E40000,dark,Angry Bully
Gluttony,Gluttonous Bully,Minion,3,MMM,"Each Demon phase, <br>Draw 2 cards, then Discard 3 from your hand.",,,,Bully.png,Gluttony.png,#FF7A00,dark,Gluttonous Bully
Greed,Greedy Bully,Minion,3,GGG,"Each Demon phase, <br>reveal an extra Sin card.",,,,Bully.png,Greed.png,#FFCB00,dark,Greedy Bully
Lust,Lusty Bully,Minion,3,CCC,"Each Demon phase, <br>Shuffle 3 Sin cards into the Virtue Deck",,,Don't bore me...,Bully.png,Lust.png,#005BFF,dark,Lusty Bully
Envy,Envious Bully,Minion,3,KKK,"Each Demon phase, <br>Corrupt",,,,Bully.png,Envy.png,#009800,dark,Envious Bully
Sloth,Temptation of Sloth,Temptation,0,,Each Player chooses one: <br><br>        -Corrupt & Draw 1 card.<br>        -Return 1 Book from your Bookshelf to your hand.,,,,temptation3.jpg,Sloth.png,#707271,dark,Temptation of Sloth
Pride,Temptation of Pride,Temptation,0,,Each Player chooses one: <br><br>        -Corrupt and Study.<br>        -Shuffle 2 Sin cards into the Virtue Deck,,,,temptation3.jpg,Pride.png,#9B00FF,dark,Temptation of Pride
Anger,Temptation of Anger,Temptation,0,,Each Player chooses one: <br><br>        -Discard 1 Book.<br>        -Corrupt & Discard a Bully.,,,,temptation3.jpg,Anger.png,#E40000,dark,Temptation of Anger
Gluttony,Temptation of Gluttony,Temptation,0,,Each Player chooses one: <br><br>        -Corrupt & Draw 1 card.<br>        -Discard 2 cards from the Virtue Deck.,,,,temptation3.jpg,Gluttony.png,#FF7A00,dark,Temptation of Gluttony
Greed,Temptation of Greed,Temptation,0,,Each Player chooses one: <br><br>        -Discard 2 cards from Hand.<br>        -Corrupt & Draw 2 cards.,,,,temptation3.jpg,Greed.png,#FFCB00,dark,Temptation of Greed
Lust,Temptation of Lust,Temptation,0,,Each Player chooses one: <br><br>        -Corrupt & Discard a Bully.<br>        -Shuffle 2 Sin cards into the Virtue Deck,,,,temptation3.jpg,Lust.png,#005BFF,dark,Temptation of Lust
Envy,Temptation of Envy,Temptation,0,,"Each Player chooses one: <br><br>        -Discard another player's Book.<br>        -Corrupt, then take a Book from another player.",,,,temptation3.jpg,Envy.png,#009800,dark,Temptation of Envy
Sloth,Corruption of Sloth,Corruption,1,,Corrupt 2,,,Why bother?,corrupted apple.jpg,Sloth.png,#707271,dark,Corruption of Sloth
Pride,Corruption of Pride,Corruption,1,,Corrupt 2,,,I don't need anyone.,corrupted apple.jpg,Pride.png,#9B00FF,dark,Corruption of Pride
